,goodreads_book_id,tag_id,count
10,1,27199,3857
15,1,24960,1821
19,1,6888,1095
21,1,6828,1027
24,1,20774,984
88,1,25153,279
106,2,2104,981
170,2,18913,234
215,3,24960,3163
233,3,22034,1082
345,5,32623,589
377,5,2106,349
413,6,15965,1343
456,6,22689,445
503,8,8717,71
571,8,32586,2
625,10,6888,8
627,10,6895,8
633,10,11497,7
679,10,30573,3
683,10,24092,3
693,10,29457,3
711,11,7725,1439
749,11,18367,224
782,11,25167,117
793,11,26838,102
808,13,22743,839
842,13,27535,68
874,13,13962,32
925,21,1416,125
934,21,30756,79
947,21,1642,61
972,21,941,38
1005,24,15048,572
1009,24,15067,174
1055,24,30521,18
1063,24,9484,17
1072,24,5051,15
1118,25,3611,56
1195,25,25150,10
1209,26,22743,107
1227,26,20849,28
1231,26,1691,24
1237,26,17213,21
1244,26,30755,17
1268,26,32586,10
1294,26,31526,8
1334,27,31191,19
1338,27,10197,18
1340,27,31156,18
1378,27,10886,9
1387,27,21740,8
1388,27,31159,8
1425,28,3392,57
1426,28,31190,56
1448,28,1691,27
1450,28,30755,27
1455,28,15060,26
1456,28,30521,25
1473,28,12869,17
1474,28,4031,17
1486,28,4016,14
1555,29,28031,11
1564,29,24999,9
1576,29,28032,8
1589,29,1416,7
1594,29,677,7
1608,30,33114,50
1623,30,7423,26
1647,30,1120,13
1667,30,27403,9
1674,30,11310,9
1712,33,26785,566
1723,33,10729,234
1770,33,10210,74
1775,33,11773,69
1814,34,22753,945
1833,34,26771,328
1864,34,30573,167
1902,36,30909,45
1910,36,11557,11
1912,36,20570,11
1950,36,30414,2
1956,36,20574,2
1957,36,29925,2
1966,36,26816,1
1995,36,26790,1
2010,50,25438,524
2011,50,26735,472
2028,50,6960,154
2056,50,8055,76
2085,50,27535,40
2110,67,22743,104
2126,67,2277,40
2203,93,11743,858
2207,93,7404,573
2225,93,19974,95
2227,93,6914,92
2254,93,21989,43
2259,93,18045,36
2267,93,24960,30
2290,93,6597,20
2294,93,13116,19
2295,93,22344,19
2303,98,21773,118
2338,98,3758,7
2357,98,20849,4
2359,98,24995,4
2367,98,27199,3
2368,98,6888,3
2371,98,22352,3
2391,98,14930,3
2400,105,26837,1356
2464,105,1642,10
2473,105,7307,9
2487,105,30551,7
2499,105,21948,6
2520,106,22753,79
2529,106,27403,49
2559,106,23694,27
2568,106,450,23
2571,106,6122,22
2601,112,26771,2136
2692,112,30672,12
2712,117,26785,140
2725,117,30521,32
2740,117,28235,19
2795,117,2067,7
2803,119,2938,66
2854,119,29925,2
2861,119,31140,1
2872,119,24888,1
2930,122,1642,33
2933,122,5857,31
2942,122,4985,25
2965,122,25506,15
2984,122,19733,12
3004,231,22743,58
3089,231,23040,4
3090,231,31557,4
3099,231,2162,4
3106,249,7404,53
3158,249,20291,16
3171,249,20774,13
3206,250,22743,67
3234,250,20849,12
3235,250,923,12
3282,250,18318,5
3287,250,31557,5
3352,264,21815,26
3388,264,522,16
3397,264,22352,14
3401,275,11743,656
3414,275,22034,80
3424,275,19733,40
3438,275,12451,27
3476,275,27656,14
3484,275,10932,13
3495,275,15366,12
3521,291,21689,8
3528,291,5090,6
3546,291,11574,4
3550,291,34206,4
3554,291,18640,3
3579,291,30590,2
3599,291,33424,2
3610,295,14487,724
3637,295,3392,155
3724,304,10658,28
3744,304,31864,15
3784,304,25151,6
3824,320,20849,235
3844,320,9484,154
3889,320,22456,79
3892,320,14064,75
3936,343,29076,111
3978,343,3389,48
4002,348,26771,475
4010,348,14209,52
4022,348,5207,21
4059,348,24960,7
4144,350,10197,67
4192,350,2313,28
4204,353,11743,252
4206,353,26894,164
4212,353,11305,58
4229,353,3389,15
4274,353,11379,6
4284,353,15003,5
4321,355,1691,18
4328,355,20849,12
4331,355,20774,11
4358,355,31557,5
4377,355,28298,4
4383,355,25506,3
4397,355,30464,3
4403,357,26837,924
4410,357,7725,249
4431,357,22753,53
4471,357,14064,19
4474,357,1581,19
4518,359,21773,49
4560,359,27556,10
4620,360,7457,120
4684,360,31557,20
4745,365,4949,42
4748,365,20774,38
4760,365,248,33
4769,365,254,28
4853,378,6847,67
4854,378,20849,66
4867,378,20774,53
4870,378,26837,52
4873,378,206,49
4955,386,25147,4
4959,386,30755,4
4967,386,21685,4
4992,386,25110,3
5015,400,8055,30
5035,400,248,13
5053,400,10197,8
5059,400,18292,7
5068,400,17011,6
5105,415,11557,180
5117,415,7457,79
5129,415,8055,52
5135,415,2312,40
5152,415,261,28
5154,415,30573,26
5159,415,248,25
5196,415,12940,14
5206,424,19733,125
5220,424,23931,38
5224,424,32686,29
5235,424,8683,21
5251,424,31505,16
