user,friend
1,779
1,143
1,870
1,944
1,300
1,204
1,536
1,421
1,644
1,276
1,267
1,34
1,900
1,573
1,538
1,159
1,366
1,566
1,285
2,356
2,498
2,451
2,339
2,185
2,184
2,683
2,308
2,37
2,871
3,905
3,406
3,681
3,725
3,511
3,873
3,740
3,551
3,252
3,957
3,908
3,743
4,35
4,3
4,150
4,538
4,332
4,798
4,970
4,90
4,318
4,573
4,591
4,541
4,395
4,621
4,82
4,759
4,685
4,700
4,936
4,720
4,19
4,271
4,779
4,677
4,229
4,960
4,619
4,546
4,318
4,679
4,141
4,736
4,576
4,645
4,486
4,208
4,372
5,98
5,75
5,775
5,499
5,10
5,664
5,239
5,22
5,117
5,387
5,172
5,89
5,829
5,519
5,490
5,34
5,733
5,957
5,722
5,641
5,355
5,481
5,289
5,307
5,881
6,208
6,811
6,555
6,257
6,986
6,219
6,789
6,263
6,376
6,857
6,54
6,868
6,391
6,191
6,175
6,14
6,606
6,975
6,307
6,897
6,536
6,423
6,64
6,495
6,838
6,252
6,348
6,64
6,376
6,636
6,69
6,592
6,690
6,305
7,425
7,957
7,666
7,731
7,653
7,884
7,349
7,768
7,858
7,439
7,545
7,525
7,482
7,22
7,407
7,753
7,333
7,741
7,650
7,852
7,549
7,509
7,921
7,81
7,714
7,319
7,484
7,785
7,311
7,881
8,786
8,818
8,408
8,324
8,976
8,815
8,491
8,12
8,239
8,378
8,11
8,542
8,986
8,986
8,191
8,216
8,512
8,151
8,159
8,68
8,254
9,550
9,124
9,682
9,353
9,567
9,960
9,796
9,660
9,507
10,764
10,692
10,642
10,402
10,461
10,320
10,747
10,713
10,526
10,425
10,421
10,947
10,638
10,680
10,281
10,224
10,840
11,61
11,336
11,508
11,834
11,311
11,220
11,632
11,4
11,731
11,338
11,916
11,79
11,713
12,692
12,782
12,115
13,457
13,328
13,86
13,729
13,618
13,397
13,992
13,552
13,752
13,19
13,644
13,810
13,539
13,37
13,946
13,272
13,456
13,728
13,622
13,252
13,522
13,836
13,219
13,144
13,764
13,689
13,964
13,597
13,857
14,118
14,994
14,963
14,280
14,94
14,915
14,401
14,750
14,447
14,936
14,182
14,16
14,231
14,632
14,485
14,831
14,898
14,836
14,258
15,908
16,524
16,265
16,814
16,910
16,494
16,184
16,66
16,718
17,17
17,357
17,183
17,312
17,205
17,741
17,396
17,901
17,406
17,410
17,765
17,739
17,903
17,153
17,181
17,981
17,107
17,945
17,739
17,655
17,303
17,159
17,109
17,762
17,901
17,253
17,617
17,406
17,953
17,627
18,34
18,317
18,303
18,1
18,45
18,401
18,424
18,422
18,743
18,430
18,300
18,745
18,953
18,714
18,683
18,542
18,873
18,126
18,87
18,801
18,35
18,847
18,879
18,694
18,673
18,951
18,621
18,564
18,587
18,151
18,901
18,543
19,971
19,836
19,449
19,636
19,168
19,544
19,305
19,412
19,317
19,994
19,515
19,54
19,417
19,41
19,54
19,614
19,706
19,47
19,112
19,231
19,140
19,583
19,931
19,123
19,789
19,917
19,410
19,527
19,695
19,557
19,489
19,370
19,228
19,310
19,423
19,842
19,337
19,531
20,538
20,83
20,89
20,682
20,560
20,914
20,443
20,489
20,244
21,266
21,357
21,331
21,993
21,717
21,733
21,828
22,720
22,738
22,566
22,223
22,909
22,241
22,99
22,97
22,242
22,25
22,227
22,586
22,672
22,903
22,632
22,863
23,852
23,556
23,58
23,521
23,529
23,865
23,922
23,206
23,726
23,444
23,79
23,322
23,810
23,644
23,449
23,405
23,271
23,507
23,21
23,371
23,390
23,327
23,85
23,184
23,405
23,273
23,118
23,93
23,520
23,833
24,473
24,219
24,810
24,319
24,120
24,572
24,565
24,530
24,681
24,811
24,521
24,762
24,932
24,543
24,537
24,126
24,354
24,648
24,654
24,554
24,965
24,266
24,83
24,120
24,525
24,335
25,416
25,894
25,63
25,682
25,474
25,529
26,671
26,326
26,807
26,814
26,854
26,128
26,829
26,701
26,80
26,53
26,890
26,227
26,67
26,852
26,146
26,658
27,794
27,371
27,73
27,785
27,928
27,363
27,91
27,402
27,10
27,828
27,168
27,710
27,313
27,533
27,479
27,643
27,785
27,39
27,234
27,995
27,61
27,515
27,863
27,56
27,776
27,332
27,458
27,628
27,258
27,431
27,933
27,118
27,229
27,990
27,510
27,135
27,290
27,718
27,820
27,855
28,14
28,691
28,704
28,769
28,572
28,549
29,595
29,7
29,799
29,333
29,358
29,606
29,452
29,481
29,841
29,385
29,918
29,316
29,794
29,642
29,431
29,3
29,542
29,709
29,100
29,594
29,69
29,629
30,804
30,850
30,977
30,114
30,845
30,134
30,246
30,540
30,462
30,402
30,629
30,825
30,123
30,486
30,435
30,681
30,576
30,723
30,388
30,2
30,37
30,581
30,659
30,472
30,754
30,422
30,229
30,96
30,296
30,131
30,126
30,5
31,252
31,404
31,680
31,305
31,946
31,832
31,831
31,898
31,182
31,616
31,745
31,331
31,782
31,305
31,926
31,992
31,539
31,439
31,500
31,760
31,956
31,494
31,600
31,687
31,770
31,413
31,795
31,716
31,847
31,174
32,228
32,972
32,195
32,513
32,505
32,574
32,115
32,10
32,521
32,518
32,178
32,598
32,501
32,678
32,513
32,342
32,528
32,13
32,158
32,761
32,775
32,117
32,838
32,716
32,719
32,199
32,569
32,416
32,896
32,650
32,1
32,230
32,594
32,194
32,608
32,921
32,469
32,296
33,74
33,963
33,390
33,709
34,666
34,203
34,731
34,472
34,925
34,588
34,424
34,844
34,908
34,585
34,300
34,589
34,556
34,955
34,767
34,782
34,582
34,311
34,605
34,811
34,610
34,45
34,863
34,309
34,986
34,786
35,686
35,496
35,72
35,314
35,424
35,283
35,655
35,340
35,387
35,424
35,257
35,519
35,655
35,802
35,347
35,297
35,617
35,352
35,394
35,638
35,303
35,739
35,622
35,471
35,261
35,358
35,959
35,438
35,442
35,710
35,582
35,478
35,750
35,432
35,147
35,873
35,749
35,130
35,216
35,586
36,441
36,44
36,447
36,793
36,467
36,292
36,73
36,642
37,118
37,961
37,268
37,716
38,852
38,237
38,716
38,722
38,402
38,487
38,183
38,474
38,496
38,800
38,649
38,22
38,727
38,129
38,889
38,550
38,164
38,301
38,729
38,751
38,219
38,791
38,79
38,305
38,156
38,681
38,469
38,522
38,60
38,17
38,524
38,603
38,306
38,428
38,974
38,915
39,470
39,622
39,587
39,616
39,410
39,440
39,71
39,780
39,980
39,28
39,144
39,287
39,737
39,845
39,433
39,232
39,525
39,365
39,836
39,482
39,238
39,246
39,293
39,409
39,181
40,890
40,978
40,160
40,712
40,227
40,730
40,162
40,521
40,663
40,252
40,617
41,468
41,276
41,574
41,264
41,982
41,462
41,972
42,169
42,185
42,405
42,272
42,709
42,919
42,367
42,94
42,197
42,926
42,399
42,614
42,522
42,113
42,563
42,623
42,921
42,622
42,586
42,281
42,437
42,434
43,936
43,188
43,48
43,343
43,827
43,873
43,568
43,724
43,155
43,116
43,902
44,213
44,210
44,122
44,166
44,717
44,348
44,790
44,80
44,1
44,737
44,725
44,660
44,172
44,392
44,124
44,485
44,419
44,894
44,373
44,96
44,525
44,878
44,604
44,470
44,385
44,825
44,26
44,217
44,4
44,956
44,223
44,282
44,946
44,415
45,646
45,407
45,680
46,705
46,400
46,898
46,9
46,664
46,46
46,869
46,561
46,876
46,292
46,629
46,340
46,598
46,127
46,757
46,359
46,219
46,24
46,324
46,512
46,572
46,675
46,36
46,2
46,655
46,868
46,185
46,236
46,503
46,540
46,34
46,836
46,785
46,420
46,852
46,207
46,815
46,531
47,107
47,779
47,923
47,555
47,866
47,557
47,481
47,516
47,795
47,951
47,916
48,503
48,793
48,653
48,611
48,13
48,915
48,620
48,205
48,324
48,926
48,894
48,466
48,605
48,687
48,791
48,213
48,853
48,592
48,561
48,262
48,505
48,153
48,109
48,313
48,868
48,368
48,719
48,733
48,684
48,399
48,15
48,166
48,762
48,212
48,652
48,97
49,737
49,629
49,115
49,339
49,100
49,779
49,628
49,334
49,473
49,473
49,975
49,537
49,923
50,847
50,150
50,246
50,570
50,262
50,675
50,579
50,461
50,991
50,410
50,774
50,725
50,897
50,306
50,714
51,46
51,169
51,325
51,886
51,332
51,318
51,223
51,294
51,717
51,305
51,28
51,936
51,410
51,485
51,162
51,813
51,152
51,249
51,194
51,30
51,799
51,771
51,218
51,575
51,49
51,802
51,636
51,269
52,980
52,353
52,927
52,257
52,294
52,442
52,598
52,670
52,601
52,210
52,214
52,931
52,79
52,71
52,12
52,995
52,953
52,386
52,464
52,968
52,855
52,662
52,32
52,501
52,539
52,445
52,44
52,746
52,763
52,923
52,71
52,473
52,847
52,214
52,152
52,586
52,620
53,949
53,511
53,760
53,307
53,863
53,226
53,670
53,586
53,61
53,149
53,574
53,317
53,696
53,202
53,931
54,120
54,544
54,251
54,365
54,176
54,100
54,65
54,829
54,761
54,222
54,590
54,879
54,467
54,345
54,493
54,489
54,439
54,422
54,328
54,903
54,686
54,885
54,317
54,400
54,985
54,233
54,615
54,427
54,84
54,349
54,930
54,374
54,957
54,589
54,135
54,79
54,847
55,897
55,826
55,349
55,30
55,183
55,165
55,645
55,194
55,93
55,924
55,712
55,655
55,414
55,707
55,604
55,728
55,208
55,65
55,795
55,190
55,433
55,625
55,535
55,207
55,329
55,940
55,485
55,715
55,955
55,51
55,225
55,66
55,379
55,15
55,458
55,884
56,707
56,675
56,445
56,571
56,167
56,410
56,786
56,504
56,535
56,151
56,955
56,272
56,428
56,341
56,762
56,148
57,987
57,486
57,88
57,424
57,448
57,695
57,891
57,102
57,105
57,137
57,867
57,62
57,179
57,431
57,869
57,602
57,116
57,985
57,148
57,204
57,131
57,68
57,697
57,109
57,392
57,712
57,29
57,14
57,110
57,65
58,824
58,966
58,867
58,110
58,278
58,276
58,714
58,366
58,771
58,102
58,480
58,551
58,264
58,902
58,577
58,417
58,661
59,794
59,598
59,213
59,26
59,871
59,70
59,941
59,54
59,119
59,99
59,576
59,872
59,239
59,315
59,881
59,921
59,139
59,807
59,552
59,63
59,333
59,342
59,658
59,353
59,67
59,343
59,730
59,276
59,479
59,13
59,781
59,174
59,721
59,214
59,926
59,968
59,826
59,309
59,53
60,278
60,506
60,538
60,184
60,705
60,185
60,934
60,11
60,920
60,591
60,996
60,388
60,213
60,977
60,203
60,199
60,674
60,899
60,317
60,227
60,687
60,513
60,641
60,640
60,781
60,288
60,50
60,287
60,154
60,54
60,536
60,175
60,872
60,824
60,551
60,836
60,857
60,911
61,881
61,445
61,48
61,707
61,464
61,332
62,215
62,443
62,879
62,676
62,757
62,953
62,157
62,201
62,307
62,819
62,255
62,96
62,250
62,121
62,633
62,598
63,931
63,215
63,943
64,531
64,914
64,581
64,472
64,288
64,369
64,116
64,674
64,229
64,500
64,617
64,569
64,970
64,443
64,404
64,144
64,384
64,381
64,956
64,887
64,59
64,8
64,933
64,378
64,425
64,715
64,64
64,432
64,779
64,458
64,570
64,79
64,143
65,705
65,825
65,769
65,180
65,645
65,875
65,321
65,655
65,275
65,980
65,867
65,498
65,259
65,866
65,822
65,511
65,121
65,747
65,914
65,374
65,672
65,900
65,707
65,44
65,630
65,933
65,440
65,575
65,553
65,84
65,925
65,380
65,724
65,24
66,373
66,549
66,69
66,767
66,256
66,883
67,754
67,440
67,982
67,505
67,615
67,997
67,739
67,827
67,920
67,137
67,345
67,586
67,845
67,776
67,1
67,299
67,57
67,533
67,276
67,329
67,462
67,753
67,488
67,81
67,304
67,966
68,964
68,202
68,383
68,986
68,681
68,932
68,728
68,48
68,932
68,683
68,939
68,987
68,115
68,423
68,797
68,545
68,39
68,451
68,299
68,507
68,992
68,396
68,857
69,280
69,825
69,377
69,110
69,563
69,119
69,957
69,152
70,303
70,301
70,839
70,938
70,136
70,595
70,619
70,926
70,120
70,696
70,131
70,818
70,394
70,130
70,807
70,467
70,849
70,304
70,145
70,354
70,404
70,533
70,750
70,912
70,653
70,542
70,229
70,739
70,171
70,248
70,262
70,905
70,369
71,169
71,199
71,36
72,170
72,64
72,351
72,508
72,521
72,914
72,102
72,279
72,553
72,859
72,356
72,797
72,78
72,760
72,659
72,378
72,371
72,73
72,822
72,721
72,777
72,978
72,415
72,797
72,97
72,626
72,935
72,74
73,423
73,813
73,522
73,680
73,34
73,745
73,533
73,19
73,366
73,4
73,629
73,806
73,541
73,494
73,452
73,453
73,262
73,3
73,355
73,540
74,750
74,534
74,381
74,166
74,543
74,292
74,716
74,569
74,756
74,231
74,374
74,8
74,903
75,15
75,27
75,95
75,876
75,823
75,139
75,336
75,612
75,529
75,996
76,796
76,254
76,158
76,291
76,94
76,282
77,34
77,491
78,216
78,435
78,780
78,734
78,947
78,163
78,617
78,116
78,755
78,839
78,214
78,476
79,34
79,85
79,367
80,795
80,459
80,848
80,791
80,798
80,468
80,617
80,899
80,588
80,381
81,218
81,971
81,319
81,834
81,709
81,85
81,90
81,430
81,736
81,574
81,838
81,404
81,596
81,114
81,740
81,773
81,904
81,391
81,232
81,24
81,894
81,375
81,662
81,460
81,649
81,187
81,159
81,973
81,474
81,232
81,717
81,837
81,910
81,794
81,696
81,62
81,664
81,11
82,745
82,942
82,155
82,917
82,279
