,book_id,tag_id
1,1,11305
2,1,11557
3,1,8717
4,1,33114
10,1,27199
12,1,18886
15,1,24960
17,1,6857
19,1,6888
21,1,6828
23,1,9221
24,1,20774
26,1,25765
27,1,15169
28,1,3389
30,1,6895
33,1,22034
34,1,11370
37,1,3392
40,1,20849
41,1,33009
43,1,32623
44,1,10644
45,1,31617
46,1,5751
47,1,16427
50,1,29011
51,1,24964
52,1,20939
53,1,33012
54,1,14024
57,1,6960
58,1,18045
59,1,3371
60,1,33124
62,1,615
63,1,26897
65,1,11491
66,1,11550
67,1,25151
70,1,27535
71,1,17213
73,1,26138
74,1,11574
75,1,30521
76,1,25150
80,1,17129
81,1,10197
82,1,25770
83,1,8055
85,1,1120
86,1,7852
87,1,26842
88,1,25153
91,1,11579
92,1,22352
93,1,20781
95,1,5444
96,1,18913
97,1,11595
98,1,6829
101,2,8717
102,2,11305
103,2,11557
104,2,6857
106,2,2104
107,2,9221
108,2,11743
111,2,5207
113,2,17124
114,2,22743
117,2,11497
118,2,22973
120,2,33009
122,2,32623
124,2,5751
125,2,16427
129,2,6960
130,2,22689
135,2,18045
136,2,21989
137,2,3371
139,2,32654
142,2,17213
144,2,33165
146,2,27535
147,2,16799
148,2,11574
150,2,6838
152,2,25153
157,2,6920
158,2,24960
159,2,10641
161,2,6829
163,2,11376
164,2,1120
166,2,11595
168,2,7404
170,2,18913
171,2,4834
173,2,3379
174,2,1540
176,2,26138
177,2,5776
178,2,25149
179,2,11340
180,2,26295
184,2,11978
187,2,32996
190,2,11773
192,2,3392
193,2,11643
194,2,11290
196,2,5180
198,2,33023
202,3,11305
203,3,8717
207,3,5207
208,3,22743
209,3,22743
212,3,11590
213,3,18886
214,3,6953
215,3,24960
220,3,6888
222,3,25765
226,3,26785
228,3,17124
229,3,20774
230,3,3389
231,3,11505
232,3,9221
233,3,22034
234,3,1128
235,3,3392
236,3,15169
237,3,25152
240,3,25234
241,3,11370
244,3,25151
245,3,5090
247,3,33009
251,3,29452
252,3,31617
255,3,11550
256,3,29011
258,3,18045
262,3,25153
263,3,33012
264,3,11491
266,3,14024
267,3,16799
269,3,6838
271,3,25770
272,3,17129
273,3,26897
275,3,25167
277,3,33165
278,3,24999
279,3,6920
280,3,7404
282,3,6914
283,3,10197
284,3,30573
287,3,12600
289,3,27535
290,3,22352
291,3,2106
292,3,11595
293,3,30521
296,3,10641
297,3,5444
300,5,11557
301,5,11305
303,5,33114
306,5,14017
310,5,11590
312,5,18886
313,5,6953
314,5,24960
317,5,6857
319,5,6888
320,5,6828
321,5,2104
322,5,26785
324,5,7457
325,5,25765
326,5,20774
327,5,9221
329,5,6895
331,5,1128
333,5,15169
334,5,22034
336,5,3392
338,5,11370
339,5,22973
341,5,20849
342,5,33009
343,5,24964
345,5,32623
348,5,5090
349,5,29452
350,5,16427
352,5,25151
353,5,20939
356,5,27535
357,5,20824
358,5,18045
359,5,11491
361,5,14024
362,5,22689
365,5,25150
367,5,32654
369,5,17213
372,5,11550
373,5,6838
376,5,25770
377,5,2106
378,5,17129
381,5,11579
382,5,25167
385,5,11595
386,5,30521
389,5,24999
390,5,30573
391,5,1120
394,5,25149
395,5,20781
396,5,32345
397,5,12600
398,5,3379
400,6,11305
404,6,22743
405,6,32989
409,6,24960
410,6,22753
411,6,1691
412,6,6857
413,6,15965
414,6,6888
417,6,7457
424,6,19974
425,6,15169
426,6,17124
427,6,11505
428,6,22034
429,6,3392
430,6,11370
431,6,25234
434,6,33009
438,6,29452
439,6,24964
441,6,32623
444,6,16427
445,6,5090
446,6,20939
448,6,6960
449,6,14024
450,6,25151
451,6,3371
452,6,27535
453,6,33012
454,6,18045
455,6,20824
456,6,22689
457,6,21989
458,6,32654
461,6,26897
463,6,11550
464,6,33165
465,6,16799
466,6,25150
467,6,6838
468,6,25153
469,6,25770
470,6,11574
471,6,17129
473,6,10197
476,6,26842
478,6,30574
479,6,7852
480,6,10641
483,6,6829
486,6,25167
487,6,20781
488,6,12600
490,6,11579
492,6,29190
493,6,24092
495,6,7404
496,6,5444
498,6,3379
500,8,30574
503,8,8717
508,8,22743
509,8,27199
511,8,5207
515,8,1691
517,8,6895
522,8,7457
524,8,22034
525,8,22973
526,8,32623
527,8,31617
533,8,20939
535,8,18680
536,8,5557
537,8,6888
540,8,19974
541,8,16427
542,8,20824
547,8,3687
548,8,9882
549,8,15048
550,8,14092
552,8,33009
